Timestamp,Elapsed Time (s),Power (W)
2026-06-03 17:16:54,0.00,0.0105926963
2026-06-03 17:16:55,1.01,0.0105510866
2026-06-03 17:16:56,2.01,0.0105990982
2026-06-03 17:16:57,3.01,0.0105398856
2026-06-03 17:16:58,4.02,0.0104758712
2026-06-03 17:16:59,5.02,0.0104374625
2026-06-03 17:17:00,6.02,0.0104774721
2026-06-03 17:17:01,7.03,0.0106871175
2026-06-03 17:17:02,8.03,0.0105974982
2026-06-03 17:17:03,9.03,0.0103878519
2026-06-03 17:17:04,10.04,0.0103206374
2026-06-03 17:17:05,11.04,0.0104102567
2026-06-03 17:17:06,12.05,0.0104566682
2026-06-03 17:17:07,13.05,0.0105846943
2026-06-03 17:17:08,14.05,0.0105766924
2026-06-03 17:17:09,15.06,0.0105078788
2026-06-03 17:17:10,16.06,0.0105430866
2026-06-03 17:17:11,17.07,0.0105446866
2026-06-03 17:17:12,18.07,0.0105718924
2026-06-03 17:17:13,19.07,0.010485474
2026-06-03 17:17:14,20.08,0.0106823165
2026-06-03 17:17:15,21.08,0.0106279049
2026-06-03 17:17:16,22.09,0.0105174808
2026-06-03 17:17:17,23.09,0.0104246605
2026-06-03 17:17:18,24.09,0.0105142798
2026-06-03 17:17:19,25.10,0.0105958972
2026-06-03 17:17:20,26.10,0.0106599117
2026-06-03 17:17:21,27.10,0.0107079213
2026-06-03 17:17:22,28.11,0.0107511319
2026-06-03 17:17:23,29.11,0.0106807156
2026-06-03 17:17:24,30.12,0.0108535532
2026-06-03 17:17:25,31.12,0.0107127232
2026-06-03 17:17:26,32.12,0.0107943397
2026-06-03 17:17:27,33.13,0.0106567107
2026-06-03 17:17:28,34.13,0.010754331
2026-06-03 17:17:29,35.13,0.0107623329
2026-06-03 17:17:30,36.14,0.0107863378
2026-06-03 17:17:31,37.14,0.0108423503
2026-06-03 17:17:32,38.14,0.0107047204
2026-06-03 17:17:33,39.15,0.0107383281
2026-06-03 17:17:34,40.15,0.0109895822
2026-06-03 17:17:35,41.16,0.0106919184
2026-06-03 17:17:36,42.16,0.0108759571
2026-06-03 17:17:37,43.16,0.0109303687
