Timestamp,Elapsed Time (s),Power (W)
2026-06-03 18:27:16,0.00,0.0296368264
2026-06-03 18:27:17,1.01,0.02971524
2026-06-03 18:27:18,2.01,0.0298000611
2026-06-03 18:27:19,3.01,0.0296528302
2026-06-03 18:27:20,4.02,0.0295135994
2026-06-03 18:27:21,5.02,0.0293791685
2026-06-03 18:27:22,6.03,0.029175926
2026-06-03 18:27:23,7.03,0.0290238913
2026-06-03 18:27:24,8.03,0.0291519202
2026-06-03 18:27:25,9.04,0.0293599665
2026-06-03 18:27:26,10.04,0.029438382
2026-06-03 18:27:27,11.04,0.0295424033
2026-06-03 18:27:28,12.05,0.0296368264
2026-06-03 18:27:29,13.05,0.0295055956
2026-06-03 18:27:30,14.05,0.0294255782
2026-06-03 18:27:31,15.07,0.0291551203
2026-06-03 18:27:32,16.07,0.0289342739
2026-06-03 18:27:33,17.07,0.0288606565
2026-06-03 18:27:34,18.08,0.0290366951
2026-06-03 18:27:35,19.08,0.0291311145
2026-06-03 18:27:36,20.09,0.0293231569
2026-06-03 18:27:37,21.09,0.0294015743
2026-06-03 18:27:38,22.09,0.0295376051
2026-06-03 18:27:39,23.10,0.0293919723
2026-06-03 18:27:40,24.10,0.0291615222
2026-06-03 18:27:41,25.10,0.0288990643
2026-06-03 18:27:42,26.11,0.0288014431
2026-06-03 18:27:43,27.11,0.028684618
2026-06-03 18:27:44,28.11,0.0288622566
2026-06-03 18:27:45,29.12,0.0290254913
2026-06-03 18:27:46,30.12,0.0291391164
2026-06-03 18:27:47,31.12,0.029299153
2026-06-03 18:27:48,32.13,0.0292735454
2026-06-03 18:27:49,33.13,0.0292175338
2026-06-03 18:27:50,34.14,0.0290302932
2026-06-03 18:27:51,35.14,0.0287854392
2026-06-03 18:27:52,36.14,0.0285453871
2026-06-03 18:27:53,37.15,0.0285117812
2026-06-03 18:27:54,38.15,0.0286238045
2026-06-03 18:27:55,39.16,0.0288286507
2026-06-03 18:27:56,40.16,0.0290142894
2026-06-03 18:27:57,41.16,0.0291119125
2026-06-03 18:27:58,42.17,0.029177526
2026-06-03 18:27:59,43.17,0.0290046893
2026-06-03 18:28:00,44.17,0.0288606565
2026-06-03 18:28:01,45.18,0.0286078006
2026-06-03 18:28:02,46.18,0.0283373427
2026-06-03 18:28:03,47.18,0.0281885136
2026-06-03 18:28:04,48.19,0.0284621716
2026-06-03 18:28:05,49.19,0.0286590122
2026-06-03 18:28:06,50.20,0.0288382508
2026-06-03 18:28:07,51.20,0.028951874
2026-06-03 18:28:08,52.21,0.028951874
2026-06-03 18:28:09,53.21,0.0287502334
2026-06-03 18:28:10,54.22,0.0285229851
2026-06-03 18:28:11,55.22,0.0283277407
2026-06-03 18:28:12,56.22,0.0280204732
2026-06-03 18:28:13,57.23,0.0279420596
2026-06-03 18:28:14,58.23,0.0282333214
2026-06-03 18:28:15,59.23,0.0284173619
2026-06-03 18:28:16,60.24,0.028529387
2026-06-03 18:28:17,61.24,0.0288110469
2026-06-03 18:28:18,62.24,0.0287198238
2026-06-03 18:28:19,63.25,0.028553389
2026-06-03 18:28:20,64.25,0.0283437446
2026-06-03 18:28:21,65.25,0.0280220732
2026-06-03 18:28:22,66.26,0.0278172307
2026-06-03 18:28:23,67.26,0.0277484152
2026-06-03 18:28:24,68.27,0.027890848
2026-06-03 18:28:25,69.27,0.0281677078
2026-06-03 18:28:26,70.27,0.0283037387
2026-06-03 18:28:27,71.28,0.0285197832
2026-06-03 18:28:28,72.28,0.0284605697
2026-06-03 18:28:29,73.28,0.0283245407
2026-06-03 18:28:30,74.29,0.028036477
2026-06-03 18:28:31,75.29,0.0277516171
2026-06-03 18:28:32,76.30,0.0274107438
2026-06-03 18:28:33,77.30,0.0273771342
2026-06-03 18:28:34,78.30,0.0275323708
2026-06-03 18:28:35,79.31,0.0278668422
2026-06-03 18:28:36,80.31,0.0280700866
2026-06-03 18:28:37,81.31,0.0283005368
2026-06-03 18:28:38,82.32,0.0283149369
2026-06-03 18:28:39,83.32,0.0279964712
2026-06-03 18:28:40,84.32,0.0278188325
2026-06-03 18:28:41,85.33,0.0275371708
2026-06-03 18:28:42,86.33,0.0271418821
2026-06-03 18:28:43,87.33,0.0270698704
2026-06-03 18:28:44,88.34,0.0273883361
2026-06-03 18:28:45,89.34,0.0275195669
2026-06-03 18:28:46,90.34,0.0277836211
2026-06-03 18:28:47,91.35,0.0279580597
2026-06-03 18:28:48,92.35,0.0279516615
2026-06-03 18:28:49,93.35,0.0277180113
2026-06-03 18:28:50,94.36,0.0275019612
2026-06-03 18:28:51,95.36,0.027145084
2026-06-03 18:28:52,96.37,0.0268586222
2026-06-03 18:28:53,97.37,0.0267898068
2026-06-03 18:28:54,98.37,0.0269882511
2026-06-03 18:28:55,99.38,0.027249109
2026-06-03 18:28:56,100.38,0.0275179651
2026-06-03 18:28:57,101.39,0.0277548172
2026-06-03 18:28:58,102.39,0.0277388133
2026-06-03 18:28:59,103.39,0.0274955593
2026-06-03 18:29:00,104.40,0.0271802936
2026-06-03 18:29:01,105.40,0.0267706048
2026-06-03 18:29:02,106.40,0.026484143
2026-06-03 18:29:03,107.41,0.0264425315
2026-06-03 18:29:04,108.41,0.0267529991
2026-06-03 18:29:05,109.41,0.0269850492
2026-06-03 18:29:06,110.42,0.0272106975
2026-06-03 18:29:07,111.42,0.0274443496
2026-06-03 18:29:08,112.42,0.0274379477
2026-06-03 18:29:09,113.43,0.0271626879
2026-06-03 18:29:10,114.43,0.0268618222
2026-06-03 18:29:11,115.44,0.026506545
2026-06-03 18:29:12,116.44,0.0261400659
2026-06-03 18:29:13,117.44,0.0260920562
2026-06-03 18:29:14,118.45,0.0264233295
2026-06-03 18:29:15,119.45,0.0266729817
2026-06-03 18:29:16,120.45,0.0269450434
2026-06-03 18:29:17,121.46,0.0270922724
2026-06-03 18:29:18,122.46,0.0270634685
2026-06-03 18:29:19,123.46,0.0268442184
2026-06-03 18:29:20,124.47,0.026506545
2026-06-03 18:29:21,125.47,0.0261432659
2026-06-03 18:29:22,126.47,0.0257111751
2026-06-03 18:29:23,127.48,0.0257111751
2026-06-03 18:29:24,128.48,0.0260744542
2026-06-03 18:29:25,129.49,0.0262969024
2026-06-03 18:29:26,130.49,0.0265993681
2026-06-03 18:29:27,131.49,0.0268538203
