Timestamp,Elapsed Time (s),Power (W)
2026-06-03 17:01:55,0.00,0.0384643376
2026-06-03 17:01:56,1.00,0.0393493287
2026-06-03 17:01:57,2.01,0.0385603607
2026-06-03 17:01:58,3.01,0.0384387337
2026-06-03 17:01:59,4.02,0.0383427106
2026-06-03 17:02:00,5.02,0.0382626951
2026-06-03 17:02:01,6.02,0.0389940515
2026-06-03 17:02:02,7.03,0.0388884321
2026-06-03 17:02:03,8.03,0.0393605344
2026-06-03 17:02:04,9.03,0.0390548669
2026-06-03 17:02:05,10.04,0.0392053016
2026-06-03 17:02:06,11.04,0.0387828089
2026-06-03 17:02:07,12.05,0.0387652032
2026-06-03 17:02:08,13.05,0.0384931453
2026-06-03 17:02:09,14.06,0.0382722989
2026-06-03 17:02:11,15.06,0.0379394256
2026-06-03 17:02:12,16.07,0.0375841483
2026-06-03 17:02:13,17.07,0.0370688364
2026-06-03 17:02:14,18.07,0.0366591476
2026-06-03 17:02:15,19.08,0.0362270512
2026-06-03 17:02:16,20.08,0.0356125198
2026-06-03 17:02:17,21.08,0.034820348
2026-06-03 17:02:18,22.09,0.0340745859
2026-06-03 17:02:19,23.09,0.0334104411
2026-06-03 17:02:20,24.09,0.0327463001
2026-06-03 17:02:21,25.10,0.0321125649
2026-06-03 17:02:22,26.10,0.0317348801
2026-06-03 17:02:23,27.10,0.0312915854
2026-06-03 17:02:24,28.11,0.030968314
2026-06-03 17:02:25,29.11,0.0305858329
2026-06-03 17:02:26,30.12,0.0304418001
2026-06-03 17:02:27,31.12,0.0302785654
2026-06-03 17:02:28,32.12,0.0299953036
2026-06-03 17:02:29,33.13,0.0299024824
2026-06-03 17:02:30,34.13,0.0298848804
2026-06-03 17:02:31,35.13,0.0297296438
2026-06-03 17:02:32,36.14,0.029569611
2026-06-03 17:02:33,37.14,0.0296656303
2026-06-03 17:02:34,38.14,0.029684836
2026-06-03 17:02:35,39.15,0.0296416264
2026-06-03 17:02:36,40.15,0.0298016611
2026-06-03 17:02:37,41.16,0.0302801654
2026-06-03 17:02:38,42.16,0.0306530427
2026-06-03 17:02:39,43.16,0.0314036086
2026-06-03 17:02:40,44.17,0.0318597071
2026-06-03 17:02:41,45.17,0.0322934017
2026-06-03 17:02:42,46.17,0.0324166268
2026-06-03 17:02:43,47.18,0.032643877
2026-06-03 17:02:44,48.18,0.0326950885
2026-06-03 17:02:45,49.18,0.032875929
2026-06-03 17:02:46,50.19,0.0330071561
2026-06-03 17:02:47,51.19,0.0338569395
2026-06-03 17:02:48,52.20,0.0346363112
2026-06-03 17:02:49,53.20,0.0354860909
2026-06-03 17:02:50,54.21,0.0362142511
2026-06-03 17:02:51,55.21,0.036726363
2026-06-03 17:02:52,56.21,0.0368127786
2026-06-03 17:02:53,57.22,0.036607936
2026-06-03 17:02:54,58.22,0.0370688364
2026-06-03 17:02:55,59.22,0.0369232073
2026-06-03 17:02:56,60.23,0.0372672789
2026-06-03 17:02:57,61.23,0.0380354486
2026-06-03 17:02:58,62.24,0.0385427549
2026-06-03 17:02:59,63.24,0.0388676226
2026-06-03 17:03:00,64.24,0.039418146
2026-06-03 17:03:01,65.25,0.0394981652
2026-06-03 17:03:02,66.25,0.0396357924
2026-06-03 17:03:03,67.26,0.0396021865
2026-06-03 17:03:04,68.26,0.0394437537
2026-06-03 17:03:05,69.26,0.0393429287
2026-06-03 17:03:06,70.27,0.0395893827
2026-06-03 17:03:07,71.27,0.0400118753
2026-06-03 17:03:08,72.27,0.0403607488
2026-06-03 17:03:09,73.28,0.040426366
2026-06-03 17:03:10,74.28,0.0405047834
2026-06-03 17:03:11,75.29,0.0406392105
2026-06-03 17:03:12,76.29,0.0405303873
2026-06-03 17:03:13,77.29,0.0405159816
2026-06-03 17:03:14,78.29,0.0401543081
2026-06-03 17:03:15,79.30,0.0401158966
2026-06-03 17:03:16,80.30,0.0402439237
2026-06-03 17:03:17,81.31,0.0401078947
2026-06-03 17:03:18,82.31,0.0399222523
2026-06-03 17:03:19,83.31,0.0397990309
2026-06-03 17:03:20,84.32,0.039557375
2026-06-03 17:03:21,85.32,0.0397126079
2026-06-03 17:03:22,86.32,0.0394741558
2026-06-03 17:03:23,87.33,0.039414946
2026-06-03 17:03:24,88.33,0.03915089
2026-06-03 17:03:25,89.33,0.0390740708
2026-06-03 17:03:26,90.34,0.0389668494
2026-06-03 17:03:27,91.34,0.0386355743
2026-06-03 17:03:28,92.35,0.0382979028
2026-06-03 17:03:29,93.35,0.0379922353
2026-06-03 17:03:30,94.35,0.0373889059
