[MetaData]
Started = 06/03/2026 15:27:22
Duration = 002:29:13
Maximum Temperature = +19.2
Minimum Temperature = +17.1
Average Temperature = +18.19
Maximum Humidity = 60
Minimum Humidity = 56
Average Humidity = 57.4
[/End MetaData]
Temperature\Humidity Graph,Time,Celsius(°C),High Alarm,Low Alarm,Humidity(%rh),High Alarm rh,Low Alarm rh,dew point(°C),High Alarm dew,Low Alarm dew
1,06/03/2026 15:27:22,19.2,,,56,,,010.2,,
2,06/03/2026 15:27:53,19.2,,,56,,,010.2,,
3,06/03/2026 15:27:54,19.1,,,56,,,010.1,,
4,06/03/2026 15:28:38,19.1,,,56,,,010.1,,
5,06/03/2026 15:28:39,19.0,,,56,,,010.0,,
6,06/03/2026 15:29:44,19.0,,,56,,,010.0,,
7,06/03/2026 15:29:45,18.9,,,56,,,009.9,,
8,06/03/2026 15:30:29,18.9,,,56,,,009.9,,
9,06/03/2026 15:30:31,18.8,,,56,,,009.8,,
10,06/03/2026 15:30:40,18.8,,,56,,,009.8,,
11,06/03/2026 15:30:41,18.9,,,56,,,009.9,,
12,06/03/2026 15:30:45,18.9,,,56,,,009.9,,
13,06/03/2026 15:30:47,18.8,,,56,,,009.8,,
14,06/03/2026 15:32:16,18.8,,,56,,,009.8,,
15,06/03/2026 15:32:17,18.8,,,57,,,010.1,,
16,06/03/2026 15:32:20,18.8,,,57,,,010.1,,
17,06/03/2026 15:32:21,18.8,,,56,,,009.8,,
18,06/03/2026 15:32:51,18.8,,,56,,,009.8,,
19,06/03/2026 15:32:52,18.7,,,57,,,010.0,,
20,06/03/2026 15:35:38,18.7,,,57,,,010.0,,
21,06/03/2026 15:35:39,18.6,,,57,,,009.9,,
22,06/03/2026 15:35:43,18.6,,,57,,,009.9,,
23,06/03/2026 15:35:45,18.7,,,57,,,010.0,,
24,06/03/2026 15:35:54,18.7,,,57,,,010.0,,
25,06/03/2026 15:35:55,18.6,,,57,,,009.9,,
26,06/03/2026 15:36:44,18.6,,,57,,,009.9,,
27,06/03/2026 15:36:45,18.5,,,57,,,009.8,,
