Timestamp,Elapsed Time (s),Power (W)
2026-06-03 18:38:21,0.00,0.0126219373
2026-06-03 18:38:22,1.00,0.0125947315
2026-06-03 18:38:23,2.01,0.0125819277
2026-06-03 18:38:24,3.01,0.0125739248
2026-06-03 18:38:25,4.01,0.0125963315
2026-06-03 18:38:26,5.02,0.0126939518
2026-06-03 18:38:27,6.02,0.0127307596
2026-06-03 18:38:28,7.02,0.0128763914
2026-06-03 18:38:29,8.03,0.0127995759
2026-06-03 18:38:30,9.03,0.0127579654
2026-06-03 18:38:31,10.04,0.0126091335
2026-06-03 18:38:32,11.04,0.0125755258
2026-06-03 18:38:33,12.05,0.0125275161
2026-06-03 18:38:34,13.05,0.0125579229
2026-06-03 18:38:35,14.05,0.0125947315
2026-06-03 18:38:36,15.06,0.0126779489
2026-06-03 18:38:37,16.06,0.0128395827
2026-06-03 18:38:38,17.06,0.0129660107
2026-06-03 18:38:39,18.07,0.0128731905
2026-06-03 18:38:40,19.07,0.0126603441
2026-06-03 18:38:41,20.07,0.0125995325
2026-06-03 18:38:42,21.08,0.0125627238
2026-06-03 18:38:43,22.08,0.0125275161
2026-06-03 18:38:44,23.09,0.0125771258
2026-06-03 18:38:45,24.09,0.0126059325
2026-06-03 18:38:46,25.09,0.0126475422
2026-06-03 18:38:47,26.10,0.0127307596
2026-06-03 18:38:48,27.10,0.0128843933
2026-06-03 18:38:49,28.10,0.0128571875
2026-06-03 18:38:50,29.11,0.0127627673
2026-06-03 18:38:51,30.11,0.0126555441
2026-06-03 18:38:52,31.12,0.0126011306
2026-06-03 18:38:53,32.12,0.01254992
2026-06-03 18:38:54,33.13,0.0125787267
2026-06-03 18:38:55,34.13,0.0125403199
2026-06-03 18:38:56,35.13,0.012671547
2026-06-03 18:38:57,36.14,0.0128011759
2026-06-03 18:38:58,37.14,0.0128395827
2026-06-03 18:38:59,38.14,0.0127723701
2026-06-03 18:39:00,39.15,0.0126635451
