Timestamp,Elapsed Time (s),Power (W)
2026-06-03 18:54:53,0.00,0.024579728
2026-06-03 18:54:54,1.00,0.0245269183
2026-06-03 18:54:55,2.01,0.0244741067
2026-06-03 18:54:56,3.01,0.0244965088
2026-06-03 18:54:57,4.01,0.0244468991
2026-06-03 18:54:58,5.02,0.024312472
2026-06-03 18:54:59,6.02,0.024331674
2026-06-03 18:55:00,7.03,0.0244212952
2026-06-03 18:55:01,8.03,0.0244821087
2026-06-03 18:55:02,9.03,0.0245701261
2026-06-03 18:55:03,10.04,0.0244933087
2026-06-03 18:55:04,11.04,0.0245141145
2026-06-03 18:55:05,12.04,0.0244853105
2026-06-03 18:55:06,13.05,0.0244468991
2026-06-03 18:55:07,14.05,0.0243380759
2026-06-03 18:55:08,15.06,0.0242852643
2026-06-03 18:55:09,16.06,0.02430127
2026-06-03 18:55:10,17.06,0.0243764836
2026-06-03 18:55:11,18.07,0.0245157145
2026-06-03 18:55:12,19.07,0.0244725067
2026-06-03 18:55:13,20.08,0.0245141145
2026-06-03 18:55:14,21.08,0.0245925318
2026-06-03 18:55:15,22.08,0.0245381203
2026-06-03 18:55:16,23.09,0.0245493241
2026-06-03 18:55:17,24.09,0.0244180951
2026-06-03 18:55:18,25.09,0.02430127
2026-06-03 18:55:19,26.10,0.0243620817
2026-06-03 18:55:20,27.10,0.0243844856
2026-06-03 18:55:21,28.10,0.0244805086
2026-06-03 18:55:22,29.11,0.0244581029
2026-06-03 18:55:23,30.11,0.0244645029
2026-06-03 18:55:24,31.12,0.0245589223
2026-06-03 18:55:25,32.12,0.0244725067
2026-06-03 18:55:26,33.12,0.0244372953
2026-06-03 18:55:27,34.13,0.0243796837
2026-06-03 18:55:28,35.13,0.0243860856
2026-06-03 18:55:29,36.14,0.0243780836
2026-06-03 18:55:30,37.14,0.024454901
2026-06-03 18:55:31,38.14,0.0244725067
2026-06-03 18:55:32,39.15,0.0244837087
2026-06-03 18:55:33,40.15,0.0244372953
2026-06-03 18:55:34,41.15,0.0244789086
2026-06-03 18:55:35,42.16,0.0245365202
2026-06-03 18:55:36,43.16,0.0244789086
2026-06-03 18:55:37,44.17,0.0244933087
2026-06-03 18:55:38,45.17,0.0243860856
2026-06-03 18:55:39,46.17,0.0244228952
2026-06-03 18:55:40,47.18,0.0244084913
2026-06-03 18:55:41,48.18,0.0244356953
2026-06-03 18:55:42,49.18,0.0244789086
2026-06-03 18:55:43,50.19,0.0245077126
2026-06-03 18:55:44,51.19,0.0245253164
2026-06-03 18:55:45,52.19,0.0245509241
