Timestamp,Elapsed Time (s),Power (W)
2026-06-03 18:50:07,0.00,0.0282397233
2026-06-03 18:50:08,1.00,0.027543569
2026-06-03 18:50:09,2.01,0.0268618222
2026-06-03 18:50:10,3.01,0.0276155863
2026-06-03 18:50:11,4.01,0.0281164963
2026-06-03 18:50:12,5.02,0.028796643
2026-06-03 18:50:13,6.02,0.0294527858
2026-06-03 18:50:14,7.03,0.0299744979
2026-06-03 18:50:15,8.03,0.0294367801
2026-06-03 18:50:16,9.03,0.0286862198
2026-06-03 18:50:17,10.04,0.0280940905
2026-06-03 18:50:18,11.04,0.0273163207
2026-06-03 18:50:19,12.04,0.0267225914
2026-06-03 18:50:20,13.05,0.0272971187
2026-06-03 18:50:21,14.05,0.0279724635
2026-06-03 18:50:22,15.06,0.0286814179
2026-06-03 18:50:23,16.06,0.0292655434
2026-06-03 18:50:24,17.06,0.0297344457
2026-06-03 18:50:25,18.07,0.0292143337
2026-06-03 18:50:26,19.07,0.028535787
2026-06-03 18:50:27,20.08,0.0278748441
2026-06-03 18:50:28,21.08,0.0270794686
2026-06-03 18:50:29,22.08,0.0266025681
2026-06-03 18:50:30,23.09,0.0272042975
2026-06-03 18:50:31,24.09,0.0278860461
2026-06-03 18:50:32,25.09,0.0286718141
2026-06-03 18:50:33,26.09,0.0292271376
2026-06-03 18:50:34,27.10,0.0296240225
2026-06-03 18:50:35,28.10,0.0290607009
2026-06-03 18:50:36,29.11,0.0284157619
2026-06-03 18:50:37,30.11,0.0276972055
2026-06-03 18:50:38,31.11,0.0270186551
2026-06-03 18:50:39,32.12,0.02660417
2026-06-03 18:50:40,33.12,0.0272154994
2026-06-03 18:50:41,34.12,0.0279292557
2026-06-03 18:50:42,35.13,0.0285725947
2026-06-03 18:50:43,36.13,0.0292847492
2026-06-03 18:50:44,37.13,0.029696038
2026-06-03 18:50:45,38.14,0.0291199144
2026-06-03 18:50:46,39.14,0.0284189619
2026-06-03 18:50:47,40.14,0.0276988056
2026-06-03 18:50:48,41.15,0.0270314589
2026-06-03 18:50:49,42.15,0.0266073663
2026-06-03 18:50:50,43.15,0.0272427071
2026-06-03 18:50:51,44.16,0.0279420596
2026-06-03 18:50:52,45.16,0.0286718141
2026-06-03 18:50:53,46.17,0.0292895511
2026-06-03 18:50:54,47.17,0.0296512302
2026-06-03 18:50:55,48.17,0.0291247163
2026-06-03 18:50:56,49.18,0.0284749754
2026-06-03 18:50:57,50.18,0.0278812461
2026-06-03 18:50:58,51.18,0.0271834955
2026-06-03 18:50:59,52.19,0.0268042106
2026-06-03 18:51:00,53.19,0.0274955593
2026-06-03 18:51:01,54.19,0.0282317214
2026-06-03 18:51:02,55.20,0.0288542546
2026-06-03 18:51:03,56.20,0.0295312032
2026-06-03 18:51:04,57.20,0.029942492
2026-06-03 18:51:05,58.21,0.029318355
2026-06-03 18:51:06,59.21,0.0287550353
2026-06-03 18:51:07,60.22,0.0280236751
2026-06-03 18:51:08,61.22,0.0274683554
2026-06-03 18:51:09,62.22,0.0271850955
2026-06-03 18:51:10,63.23,0.0278764442
2026-06-03 18:51:11,64.23,0.0284733735
2026-06-03 18:51:12,65.24,0.029193528
2026-06-03 18:51:13,66.24,0.0298864804
2026-06-03 18:51:14,67.24,0.0301073287
2026-06-03 18:51:15,68.25,0.0294895917
2026-06-03 18:51:16,69.25,0.0289422758
2026-06-03 18:51:17,70.25,0.0283389445
2026-06-03 18:51:18,71.26,0.0277020056
2026-06-03 18:51:19,72.26,0.0274091437
2026-06-03 18:51:20,73.27,0.0279996712
2026-06-03 18:51:21,74.27,0.0287790373
2026-06-03 18:51:22,75.27,0.0294735916
2026-06-03 18:51:23,76.28,0.030081721
2026-06-03 18:51:24,77.28,0.0302961692
2026-06-03 18:51:25,78.28,0.0298080631
2026-06-03 18:51:26,79.29,0.0290799029
2026-06-03 18:51:27,80.33,0.0285197832
2026-06-03 18:51:28,81.35,0.0278188325
2026-06-03 18:51:29,82.36,0.0276828017
2026-06-03 18:51:30,83.38,0.0283773504
2026-06-03 18:51:31,84.38,0.0290847048
2026-06-03 18:51:32,85.40,0.0297376458
2026-06-03 18:51:33,86.41,0.0303681828
2026-06-03 18:51:34,87.42,0.0304962099
2026-06-03 18:51:35,88.43,0.0298912786
2026-06-03 18:51:36,89.44,0.0292575415
2026-06-03 18:51:37,90.44,0.0287214257
2026-06-03 18:51:38,91.45,0.0280700866
2026-06-03 18:51:39,92.45,0.028036477
2026-06-03 18:51:40,93.46,0.0287262257
2026-06-03 18:51:41,94.46,0.0294031743
2026-06-03 18:51:42,95.46,0.0300689172
2026-06-03 18:51:43,96.47,0.0305858329
2026-06-03 18:51:44,97.47,0.0306738485
2026-06-03 18:51:45,98.47,0.030203348
2026-06-03 18:51:46,99.48,0.0296064168
2026-06-03 18:51:47,100.48,0.0288702585
2026-06-03 18:51:48,101.48,0.0282829311
2026-06-03 18:51:49,102.49,0.0283357427
2026-06-03 18:51:50,103.49,0.0289534759
2026-06-03 18:51:51,104.49,0.029696038
2026-06-03 18:51:52,105.50,0.0303297751
2026-06-03 18:51:53,106.50,0.0310227256
2026-06-03 18:51:54,107.51,0.0309939198
2026-06-03 18:51:55,108.51,0.0304289963
2026-06-03 18:51:56,109.51,0.0298688766
2026-06-03 18:51:57,110.52,0.0292415414
2026-06-03 18:51:58,111.52,0.0285133813
2026-06-03 18:51:59,112.52,0.0285645928
2026-06-03 18:52:00,113.53,0.0293295588
2026-06-03 18:52:01,114.53,0.0299264882
2026-06-03 18:52:02,115.53,0.0305874329
2026-06-03 18:52:03,116.54,0.0311427508
2026-06-03 18:52:04,117.54,0.0311715584
2026-06-03 18:52:05,118.55,0.030603433
2026-06-03 18:52:06,119.55,0.0300193075
2026-06-03 18:52:07,120.55,0.02941918
2026-06-03 18:52:08,121.56,0.0288206488
2026-06-03 18:52:09,122.56,0.0289838836
2026-06-03 18:52:10,123.56,0.0296480283
2026-06-03 18:52:11,124.57,0.0302465558
2026-06-03 18:52:12,125.57,0.0308626909
2026-06-03 18:52:13,126.57,0.0315732472
2026-06-03 18:52:14,127.58,0.0314980298
2026-06-03 18:52:15,128.58,0.0309939198
2026-06-03 18:52:16,129.59,0.0304049924
2026-06-03 18:52:17,130.59,0.0297040418
2026-06-03 18:52:18,131.59,0.029172726
2026-06-03 18:52:19,132.60,0.0293615665
2026-06-03 18:52:20,133.60,0.0300017055
2026-06-03 18:52:21,134.60,0.030611435
2026-06-03 18:52:22,135.61,0.0313075855
2026-06-03 18:52:23,136.61,0.0318949148
2026-06-03 18:52:24,137.62,0.0317828879
2026-06-03 18:52:25,138.62,0.0312819816
2026-06-03 18:52:26,139.62,0.0307538677
2026-06-03 18:52:27,140.63,0.0301377326
2026-06-03 18:52:28,141.63,0.0295151994
2026-06-03 18:52:29,142.63,0.0296048168
2026-06-03 18:52:30,143.64,0.030332977
2026-06-03 18:52:31,144.64,0.0309283063
2026-06-03 18:52:32,145.64,0.0315188356
2026-06-03 18:52:33,146.65,0.0321621746
2026-06-03 18:52:34,147.65,0.0320245437
2026-06-03 18:52:35,148.66,0.0315396376
2026-06-03 18:52:36,149.66,0.0308866985
2026-06-03 18:52:37,150.66,0.0303777847
2026-06-03 18:52:38,151.67,0.0297200419
2026-06-03 18:52:39,152.67,0.0299841017
