Timestamp,Elapsed Time (s),Power (W)
2026-06-03 17:05:42,0.00,0.0212926157
2026-06-03 17:05:43,1.00,0.0214414503
2026-06-03 17:05:44,2.01,0.0215022601
2026-06-03 17:05:45,3.01,0.0215710755
2026-06-03 17:05:46,4.02,0.0214094408
2026-06-03 17:05:47,5.02,0.0210413598
2026-06-03 17:05:48,6.02,0.0207180921
2026-06-03 17:05:49,7.03,0.020356413
2026-06-03 17:05:50,8.03,0.0199291203
2026-06-03 17:05:51,9.04,0.019834701
2026-06-03 17:05:52,10.04,0.0196890663
2026-06-03 17:05:53,11.04,0.0196394566
2026-06-03 17:05:54,12.05,0.0196266528
2026-06-03 17:05:55,13.05,0.0196970701
2026-06-03 17:05:56,14.06,0.0195194334
2026-06-03 17:05:57,15.06,0.0190937389
2026-06-03 17:05:58,16.07,0.01868085
2026-06-03 17:05:59,17.08,0.0182311535
2026-06-03 17:06:00,18.08,0.0178774763
2026-06-03 17:06:01,19.08,0.0178006589
2026-06-03 17:06:02,20.09,0.0177190416
2026-06-03 17:06:03,21.09,0.0177510493
2026-06-03 17:06:04,22.10,0.0177062377
2026-06-03 17:06:05,23.10,0.0177590512
2026-06-03 17:06:06,24.10,0.0175029933
2026-06-03 17:06:07,25.11,0.0170516968
2026-06-03 17:06:08,26.11,0.016754033
2026-06-03 17:06:09,27.11,0.0163587462
2026-06-03 17:06:10,28.12,0.0160754845
2026-06-03 17:06:11,29.12,0.0160370767
2026-06-03 17:06:12,30.12,0.0160578825
2026-06-03 17:06:13,31.13,0.0159554593
2026-06-03 17:06:14,32.13,0.0159410574
2026-06-03 17:06:15,33.13,0.0158898439
2026-06-03 17:06:16,34.14,0.0157234091
2026-06-03 17:06:17,35.14,0.0154753542
2026-06-03 17:06:18,36.15,0.0153025165
2026-06-03 17:06:19,37.15,0.0150512634
2026-06-03 17:06:20,38.15,0.0148400171
2026-06-03 17:06:21,39.16,0.014848019
2026-06-03 17:06:22,40.16,0.0148528209
2026-06-03 17:06:23,41.16,0.0149216345
2026-06-03 17:06:24,42.17,0.0148080103
2026-06-03 17:06:25,43.17,0.0147183901
2026-06-03 17:06:26,44.18,0.0146111678
2026-06-03 17:06:27,45.18,0.0145423524
2026-06-03 17:06:28,46.18,0.0143775176
2026-06-03 17:06:29,47.19,0.0144543331
2026-06-03 17:06:30,48.19,0.0143519118
2026-06-03 17:06:31,49.19,0.014323106
2026-06-03 17:06:32,50.20,0.0143631129
2026-06-03 17:06:33,51.20,0.0144703379
2026-06-03 17:06:34,52.20,0.0142638925
2026-06-03 17:06:35,53.21,0.0142702945
2026-06-03 17:06:36,54.21,0.0141406655
2026-06-03 17:06:37,55.22,0.01420628
2026-06-03 17:06:38,56.22,0.0142750945
2026-06-03 17:06:39,57.22,0.0143919196
2026-06-03 17:06:40,58.23,0.0145375505
2026-06-03 17:06:41,59.24,0.0145727592
2026-06-03 17:06:42,60.24,0.0144143254
2026-06-03 17:06:43,61.24,0.0143551128
2026-06-03 17:06:44,62.25,0.0142286848
2026-06-03 17:06:45,63.25,0.0142959002
2026-06-03 17:06:46,64.25,0.0143343071
2026-06-03 17:06:47,65.26,0.0144255273
2026-06-03 17:06:48,66.26,0.0145295504
2026-06-03 17:06:49,67.26,0.0148208132
2026-06-03 17:06:50,68.27,0.0148880268
2026-06-03 17:06:51,69.27,0.0148528209
2026-06-03 17:06:52,70.28,0.014848019
2026-06-03 17:06:53,71.28,0.0147712016
2026-06-03 17:06:54,72.28,0.01470879
2026-06-03 17:06:55,73.28,0.0146031659
